restaurant_id,restaurant_name,cuisine,price_range,delivery_time_min,distance_miles,rating,total_reviews,location,url
1104,Dagu Rice Noodle 大鼓米线,"Chinese, Snacks",$$,19,1,4.6,670,Toronto,https://www.doordash.com/store/314763/?pickup=false
1105,The Parlour,"Pizza, Gluten-Free",$,23,23,4.5,452,Toronto,https://www.doordash.com/store/633065/?pickup=false
1106,Subway,"Build Your Own, Cookies",$,12,12,4.5,256,Toronto,https://www.doordash.com/store/180116/?pickup=false
1107,Papa Spicy 刘公烤鱼-湘村发现DT店,"Chinese, Dim Sum",$$,26,1,4.6,560,Toronto,https://www.doordash.com/store/820963/?pickup=false
1108,Hakata Ikkousha Ramen,"Japanese, Ramen",$$,19,0.6,4.7,325,Toronto,https://www.doordash.com/store/872470/?pickup=false
1109,Gong Cha 贡茶,"Chinese, Milk Tea",$$,16,16,4.7,840,Toronto,https://www.doordash.com/store/693911/?pickup=false
1110,Fresco's Fish & Chips,"Sandwiches, Poutineries",$$,20,20,4.5,870,Toronto,https://www.doordash.com/store/26533/?pickup=false
1111,Lee Chen Asian Bistro 李泉居,"Chinese, Seafood",$$,21,0.4,4.6,850,Toronto,https://www.doordash.com/store/359677/?pickup=false
1112,Jz's Pizza,"Pizza, Italian",$$,21,0.2,4.5,236,Toronto,https://www.doordash.com/store/359943/?pickup=false
1113,Tacorrito,"Mexican, Fish & Chips",$,20,20,3.9,222,Toronto,https://www.doordash.com/store/58145/?pickup=false
1114,Soup Nutsy,"Healthy, Soup",$$,19,19,4.3,54,Toronto,https://www.doordash.com/store/314293/?pickup=false
1115,New Sky Restaurant 小沙田食家,"Chinese, Noodles",$$,24,1.1,4.4,3,Toronto,https://www.doordash.com/store/30277/?pickup=false
1116,T & C Restaurant,"Vietnamese, Pho",$$,22,0.9,4.7,75,Toronto,https://www.doordash.com/store/314263/?pickup=false
1117,Green Box Express,"Breakfast, Salads",$$,24,24,4.7,890,Toronto,https://www.doordash.com/store/973741/?pickup=false
1118,Monkey Sushi,"Japanese, Sushi",$$,25,25,4.5,2,Toronto,https://www.doordash.com/store/1012681/?pickup=false
1119,The Alley,"Milk Tea, Fruit Tea",$$,24,1.7,4.7,1,Toronto,https://www.doordash.com/store/896944/?pickup=false
1120,KILLER WINGS,"Wings, Chicken",$,16,0.1136363636,4.2,25,Toronto,https://www.doordash.com/store/23060596/?pickup=false
1121,Ono Poké Bar,"Poke, Seafood",$$,22,22,4.5,930,Toronto,https://www.doordash.com/store/113689/?pickup=false
1122,永合24小时 Yong He All Day Breakfast,"Chinese, Noodles",$$,22,22,4.5,332,Toronto,https://www.doordash.com/store/1090065/?pickup=false
1123,Touhenboku Ramen Restaurant,"Takeout, Pickup",$$,20,0.6,4.5,1,Toronto,https://www.doordash.com/store/106287/?pickup=false
1124,Ramen Misoya,"Japanese, Appetizers",$$,20,0.9,4.7,286,Toronto,https://www.doordash.com/store/714194/?pickup=false
1125,Gyugyuya,"Eggs, Soup",$$,20,20,4.7,540,Toronto,https://www.doordash.com/store/52406/?pickup=false
1126,Me Va Me,"Salad, Greek",$$,21,21,4.6,510,Toronto,https://www.doordash.com/store/1258808/?pickup=false
1127,Yang Tea Shop 泱,"Milk Tea, Fruit Tea",$$,19,0.9,4.7,160,Toronto,https://www.doordash.com/store/714889/?pickup=false
1128,Khao Hakka Restaurant,"Chinese, Chicken",$$,26,1.2,4.3,600,Toronto,https://www.doordash.com/store/742597/?pickup=false
1129,Bobo Bento Box,"Asian Fusion, Bento Box",$$,17,17,5,16,Toronto,https://www.doordash.com/store/2866780/?pickup=false
1130,Yang's Braised Chicken Rice 杨铭宇黄焖鸡米饭,"Chinese, Chicken",$$,26,26,4.7,560,Toronto,https://www.doordash.com/store/780154/?pickup=false
1131,EATBKK Thai Street food,"Thai, Vegan",$$,25,0.8,4.7,1,Toronto,https://www.doordash.com/store/719794/?pickup=false
1132,Ka Chi,"Korean, Stew",$$,19,0.9,4.6,910,Toronto,https://www.doordash.com/store/30286/?pickup=false
1133,Tosto Quickfire Pizza Pasta,"Italian, Pizza",$$,24,24,4.7,880,Toronto,https://www.doordash.com/store/953892/?pickup=false
1134,Pita Lite,"Shawarma, Falafel",$$,21,21,4.4,176,Toronto,https://www.doordash.com/store/853649/?pickup=false
1135,Diyijia,"Chicken, Szechuan",$$,24,1.5,4.8,299,Toronto,https://www.doordash.com/store/314198/?pickup=false
1136,Mi’hito Sushi Laboratory (285 College St),"Japanese, Sushi",$$,19,1.2,4.8,146,Toronto,https://www.doordash.com/store/1012575/?pickup=false
1137,German Doner Kebab,"Mediterranean, Kebabs",$$,21,21,4.5,369,Toronto,https://www.doordash.com/store/2415314/?pickup=false
1138,Bapbo Korean Restaurant,"Korean, Seafood",$$,24,24,4.7,1,Toronto,https://www.doordash.com/store/52323/?pickup=false
1139,Constantinople Grill,"Salads, Wraps",$$,26,1.4,4.2,406,Toronto,https://www.doordash.com/store/952061/?pickup=false
1140,Kim Vietnamese Restaurant,"Noodles, Juice Bar",$,19,0.9,4.6,120,Toronto,https://www.doordash.com/store/52445/?pickup=false
1141,Duff's Famous Wings,"American, Burgers",$$,21,21,4.7,880,Toronto,https://www.doordash.com/store/52375/?pickup=false
1142,Canteen,"American, Brunch",$$,16,16,4,0,Toronto,https://www.doordash.com/store/1785768/?pickup=false
1143,Jack Astor's,"Chicken, Burgers",$$,24,0.4,4.5,690,Toronto,https://www.doordash.com/store/37855/?pickup=false
1144,Pho Pasteur,"Family Meals, Dinner",$$,21,0.9,4.5,320,Toronto,https://www.doordash.com/store/1156627/?pickup=false
1145,ZenQ,"Taiwanese, Snacks",$$,19,19,4.6,660,Toronto,https://www.doordash.com/store/519576/?pickup=false
1146,Butter Chicken Roti,"Chicken Wings, samosa",$$,21,21,4.3,85,Toronto,https://www.doordash.com/store/566062/?pickup=false
1147,Masala Guys,"Indian, Vegetarian",$$,25,1.6,4.7,248,Toronto,https://www.doordash.com/store/843562/?pickup=false
1148,Alexandros,"Gyro, Burgers",$,19,0.7,4.2,226,Toronto,https://www.doordash.com/store/37535/?pickup=false
1149,King Place,"Indian, Chicken",$$,22,22,4.2,580,Toronto,https://www.doordash.com/store/358906/?pickup=false
1150,Ginger,"Japanese, Sushi",$,23,23,4.6,1,Toronto,https://www.doordash.com/store/37205/?pickup=false
1151,Fresh & Wild Food Market,"Gluten-Free, Snacks",$$,17,0.4,4.5,51,Toronto,https://www.doordash.com/convenience/store/993851/?pickup=false
1152,CoCo Fresh Tea & Juice,"Milk Tea, Bubble Tea",$$,16,0.6,4.8,590,Toronto,https://www.doordash.com/store/894580/?pickup=false
1153,Sushi Time Japanese Restaurant,"Japanese, Sushi",$$,20,20,4.5,170,Toronto,https://www.doordash.com/store/708503/?pickup=false
1154,Kinton Ramen Canada,"Ramen, Japanese",$$,18,18,4.7,499,Toronto,https://www.doordash.com/store/813206/?pickup=false
1155,Ichiban Sushi,"Japanese, Sushi",$$,20,0.8,4.4,191,Toronto,https://www.doordash.com/store/542630/?pickup=false
1156,The Famous Owl of Minerva,"Korean, Snacks",$,22,0.9,4.5,2,Toronto,https://www.doordash.com/store/52597/?pickup=false
1157,Chatime,"Bubble Tea, Taiwanese",$$,16,16,4.7,700,Toronto,https://www.doordash.com/store/924076/?pickup=false
1158,Panago Pizza,"Pizza, Salads",$$,17,17,4.6,137,Toronto,https://www.doordash.com/store/1215803/?pickup=false
1159,Angithi Biryani & Wraps,"Pakistani, Curry",$$,22,0.2,4.1,291,Toronto,https://www.doordash.com/store/967812/?pickup=false
1160,Via Cibo,"Italian, Sandwiches",$,21,0.1136363636,4.4,184,Toronto,https://www.doordash.com/store/1683719/?pickup=false
1161,Koh Samui Thai Kitchen,"Asian Fusion, Thai",$$,20,20,4.8,236,Toronto,https://www.doordash.com/store/2650418/?pickup=false
1162,Gotcha Bubble Tea,"Bubble Tea, Milk Tea",$$,23,23,4.6,445,Toronto,https://www.doordash.com/store/970489/?pickup=false
1163,Chili's Grill,"American, Burgers",$,19,0.1136363636,4.5,24,Toronto,https://www.doordash.com/store/23060592/?pickup=false
1164,Fat Bastard Burrito,"Mexican, Vegetarian",$$,16,0.2,4.5,204,Toronto,https://www.doordash.com/store/735038/?pickup=false
1165,Dumpling House (Spadina/Dundas) 饺子楼,"Chinese, Dumplings",$$,25,25,4.7,222,Toronto,https://www.doordash.com/store/542389/?pickup=false
1166,Swiss Chalet,"Chicken, Barbecue",$$,19,19,4.5,1,Toronto,https://www.doordash.com/store/33660/?pickup=false
1167,Chop Chop,"Chinese, Alcohol",$$,25,1.1,4.7,500,Toronto,https://www.doordash.com/store/178962/?pickup=false
1168,Cibo Wine Bar,"Italian, Pizza",$$,24,0.5,4.5,670,Toronto,https://www.doordash.com/store/921822/?pickup=false
1169,PLANTA Burger Financial District,"Burgers, Salads",$,27,27,4.4,890,Toronto,https://www.doordash.com/store/542329/?pickup=false
1170,Liberty Eats,"Burgers, Sandwiches",$$,24,24,4.7,580,Toronto,https://www.doordash.com/store/1260846/?pickup=false
1171,Aanch,"Chicken, Takeout",$$,23,0.2,4.3,610,Toronto,https://www.doordash.com/store/99521/?pickup=false
1172,Lebanon Express,"Salads, Wraps",$,24,1.4,4.4,810,Toronto,https://www.doordash.com/store/52458/?pickup=false
1173,Rasta Pasta,"Italian, Roti",$$,21,21,4.6,115,Toronto,https://www.doordash.com/store/26625/?pickup=false
1174,Harry's Charbroiled,"Burgers, Beer",$$,23,23,4.8,980,Toronto,https://www.doordash.com/store/1333954/?pickup=false
1175,KOS Restaurant,"Breakfast, Sandwiches",$,24,1.2,4.4,448,Toronto,https://www.doordash.com/store/30291/?pickup=false
1176,The Blake House,"Dessert, Salads",$$,26,1.7,4.7,344,Toronto,https://www.doordash.com/store/68873/?pickup=false
1177,Aroma Fine Indian Cuisine,"Indian, Vegetarian",$$,28,28,4.5,1,Toronto,https://www.doordash.com/store/52315/?pickup=false
1178,Gb Hand Pulled Noodle,"Chinese, Noodles",$$,23,23,4.7,218,Toronto,https://www.doordash.com/store/692269/?pickup=false
1179,Roti Mahal Indian Cuisine,"Indian, Vegetarian",$$,24,0.8,4.7,520,Toronto,https://www.doordash.com/store/1126431/?pickup=false
1180,BIWON Korean Restaurant,"Korean, Bibimpap",$$,23,0.9,4.5,1,Toronto,https://www.doordash.com/store/314517/?pickup=false
1181,Fugo Desserts,"Dessert, Cookies",$$,24,24,4.6,650,Toronto,https://www.doordash.com/store/314574/?pickup=false
1182,T-Swirl Crepe,"Creperies, Fruit Tea",$$,24,24,4.6,185,Toronto,https://www.doordash.com/store/652842/?pickup=false
1183,Levetto,"Pizza, Salads",$$,28,1.6,4.6,690,Toronto,https://www.doordash.com/store/582872/?pickup=false
1184,Indian Biriyani House,"Indian, Biryani",$,23,0.9,3.9,1,Toronto,https://www.doordash.com/store/103800/?pickup=false
1185,Big Smoke Burger,"Burgers, Sandwiches",$,17,17,4.3,1,Toronto,https://www.doordash.com/store/26503/?pickup=false
1186,Szechuan Boiling House,"Chinese, Beer",$$,21,21,4.5,79,Toronto,https://www.doordash.com/store/714976/?pickup=false
1187,King's Noodle Restaurant 富豪面家,"Chinese, Noodles",$$,22,0.9,4.6,439,Toronto,https://www.doordash.com/store/1008514/?pickup=false
1188,Harvey's,"Chicken, Sandwiches",$,17,0.2,4.1,510,Toronto,https://www.doordash.com/store/812970/?pickup=false
1189,Hakata Chicken Ramen,"Ramen, Japanese",$$,22,22,4.7,232,Toronto,https://www.doordash.com/store/872725/?pickup=false
1190,Menchie's Frozen Yogurt,Fast food,$$,24,24,,0,Toronto,https://www.doordash.com/store/911675/?pickup=false
1191,Nuida Noodle,"Noodles, Chinese",$$,18,0.6,4.8,28,Toronto,https://www.doordash.com/store/1415338/?pickup=false
1192,Sizzler Kabab,"Indian, Kebabs",$$,24,0.8,4.4,620,Toronto,https://www.doordash.com/store/468280/?pickup=false
1193,Golden Diner Family Restaurant,"Breakfast, Sandwiches",$$,25,25,4.6,540,Toronto,https://www.doordash.com/store/359100/?pickup=false
1194,Pi Co.,"Pizza, Wood Fire Pizza",$$,15,15,4.5,485,Toronto,https://www.doordash.com/store/180405/?pickup=false
1195,Dzo Viet Eatery,"Vietnamese, Street Food",$$,25,0.9,4.5,237,Toronto,https://www.doordash.com/store/359981/?pickup=false
1196,Bun Saigon Vietnamese Restaurant,"Vegetarian, Noodles",$$,26,0.8,4.5,353,Toronto,https://www.doordash.com/store/30322/?pickup=false
1197,Shawarma west,"Shawarma, Poutineries",$$,18,18,4.1,58,Toronto,https://www.doordash.com/store/2606408/?pickup=false
1198,UT Sushi,"Japanese, Sushi",$$,22,22,4.2,63,Toronto,https://www.doordash.com/store/549174/?pickup=false
1199,Thai On Yonge,"Thai, Noodles",$$,20,1.2,4.5,960,Toronto,https://www.doordash.com/store/37282/?pickup=false
1200,Urawa Sushi,"Japanese, Sushi",$$,21,0.4,4.4,190,Toronto,https://www.doordash.com/store/32981/?pickup=false
1201,Burrito Boyz,"Gluten-Free, Nachos",$$,22,22,4.6,510,Toronto,https://www.doordash.com/store/32904/?pickup=false
1202,A&W Canada,"Canadian, Breakfast",$,15,15,4.1,780,Toronto,https://www.doordash.com/store/693750/?pickup=false
1203,z-teca Mexican Eatery,"Mexican, Tacos",$,21,0.7,4.4,47,Toronto,https://www.doordash.com/store/534763/?pickup=false
1204,Bone Soup Malatang 骨汤麻辣烫,"Chinese, Seafood",$$,24,1.5,4.4,69,Toronto,https://www.doordash.com/store/844018/?pickup=false
1205,Magic Noodle 大槐树,"Chinese, Noodles",$$,25,25,4.5,1,Toronto,https://www.doordash.com/store/287655/?pickup=false
1206,Mr. Fried Rice,"Chinese, Snacks",$$,24,24,3.8,103,Toronto,https://www.doordash.com/store/960958/?pickup=false
1207,Tiee Express,"Bakery, Convenience",$$,21,0.3,4.7,154,Toronto,https://www.doordash.com/convenience/store/978766/?pickup=false
1208,Curry Kitchen Plus Falafel House,"Indian, Wraps",$$,22,1.2,4.3,97,Toronto,https://www.doordash.com/store/690897/?pickup=false
1209,Shi Miaodao Yunnan Rice Noodle,"Chinese, Noodles",$,23,23,4.8,237,Toronto,https://www.doordash.com/store/640483/?pickup=false
1210,Greenhouse,"brownies, Donuts",$$,20,20,4.4,63,Toronto,https://www.doordash.com/store/714413/?pickup=false
1211,初次见面 Ramen Station,"Asian, Ramen",$$,20,1.1,,0,Toronto,https://www.doordash.com/store/23234945/?pickup=false
1212,Mogouyan Hand Pulled Noodle,"Chinese, Noodles",$$,18,1,4.6,158,Toronto,https://www.doordash.com/store/1050255/?pickup=false
1213,Village Genius Pub & Grill,"Pubs, Burgers",$$,22,22,4.3,28,Toronto,https://www.doordash.com/store/777277/?pickup=false
1214,La Diperie,"Ice Cream, Cakes",$$,17,17,4.6,198,Toronto,https://www.doordash.com/store/1150729/?pickup=false
1215,Cuppa Tea,"Waffles, Milk Tea",$$,24,1.4,4.8,138,Toronto,https://www.doordash.com/store/714348/?pickup=false
1216,Tasty’s Caribbean Restaurant,"Caribbean, Vegetarian",$$,26,1.2,4.5,489,Toronto,https://www.doordash.com/store/314376/?pickup=false
1217,Pastucci's,"Italian, Dessert",$$,20,20,4.4,69,Toronto,https://www.doordash.com/store/2388832/?pickup=false
1218,Daily Press Juicery,"Healthy, Juice Bar",$$,18,18,4.8,48,Toronto,https://www.doordash.com/store/1556303/?pickup=false
1219,Ueno market,"Japanese, Sushi",$$,23,1.3,4.9,21,Toronto,https://www.doordash.com/store/967515/?pickup=false
